Product Name,Price,Discount,Original Price
Tata Gold Tea 250 g,144.0,7.0,155.0
Horlicks Classic Malt 1 kg,516.0,10.0,573.0
"ColombianBrewCoffee Arabica Espresso Filter Coffee Powder, Roast & Ground Strong, 100g",129.0,13.0,148.0
Rage Coffee 50 Gms Irish Hazelnut Flavour,199.0,42.0,343.0
Limca 250 ml,18.0,10.0,20.0
B Natural Orange Juice 1 L,70.0,50.0,140.0
Real Fruit Power Masala Pomegranate Juice 1 L,65.0,53.0,138.0
Society Tea 500 g,265.0,8.0,288.0
Continental XTRA Coffee Powder 50g Pouch | BUY 1 + GET 1 FREE | Strongest Instant Coffee | PACK OF 2 | 100g (50g * 2 Pouches),189.0,50.0,378.0
Continental STRONG Coffee Powder 1 Kg Bag ( 5 Pouches of 200g ),719.0,12.0,817.0
Real Fruit Power Masala Mixed Fruit Drink 1 L,67.0,52.0,140.0
B Natural Litchi Juice 1 L,70.0,50.0,140.0
Taj Mahal Tea 250 g (Carton),210.0,10.0,233.0
Pediasure 7 Plus Chocolate Drink Powder 400 g,515.0,16.0,613.0
Nescafe Classic Instant Coffee 24 g,85.0,7.0,91.0
Real Fruit Power Mixed Fruit Juice 1 L,94.0,26.0,127.0
Octavius | KADAK Assam Tea - 2.5 Kg | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Loose Tea | Strong Chai | Tea Powder | Chai Patti | Taza Tea | Garden Fresh Tea | Tea 2.5 Kg,599.0,20.0,749.0
7Up 250 ml (Can),26.0,25.0,35.0
Limca 600 ml,33.0,13.0,38.0
Bisleri Limonata 600 ml,26.0,35.0,40.0
"MAHARASTRA CHAHA WITH ""CUP"" - Leaf Tea -1 kg (500 gm Jar Pack of 2)",262.0,52.0,546.0
Aarambh Kadak Tea 1 kg,179.0,18.0,218.0
Storia Pomegranate 100% Juice with No Added Sugar & Preservatives 750 ml,89.0,50.0,178.0
Zandu Sona Chandi Chyawanplus 900 g,260.0,32.0,382.0
B Natural Apple Juice 1 L,70.0,50.0,140.0
Horlicks Chocolate Delight 1 kg,340.0,24.0,447.0
Surewater with Minerals Package Drinking Water 1 L,18.0,10.0,20.0
Horlicks Lite Regular Malt 450 g,299.0,14.0,348.0
Lipton Pure & Light Green Tea 100 g,144.0,7.0,155.0
Bisleri Packaged Drinking Water 250 ml,6.0,0.0,6.0
Tata Tea Premium Tea 1.5 kg,505.0,28.0,701.0
Frooti 600 ml,39.0,7.0,42.0
Manama Lime and Mint Mojito Syrup for Mocktails & Cocktails (750ML),297.0,4.0,309.0
BRU Green Label Filter Coffee Powder 500 g,231.0,17.0,278.0
Mirinda Orange 250 ml,27.0,22.0,35.0
Complan Royale Chocolate Drink Powder 1 kg,479.0,21.0,606.0
Mirinda Orange 250 ml,18.0,10.0,20.0
B Natural Mixed Fruit Juice 180 ml,15.0,25.0,20.0
"Coolberg Non Alcoholic Beer Assorted Flavors 330ml Glass Bottle - Pack of 12 (330ml x 12) Peach, Mint, Malt, Cranberry, Ginger & Strawberry",1092.0,8.0,1187.0
Octavius | Suprabhatam Tez Kadak Tea - 1Kg | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Strong Chai | Tea Powder | Chai Patti 1 kg | Taza Tea 1 kg | Garden Fresh Tea | Tea 1 Kg,179.0,25.0,239.0
Fanta Orange 600 ml,33.0,13.0,38.0
PediaSure Chocolate Drink Powder 1 kg,1416.0,20.0,1770.0
PediaSure Vanilla Delight Drink Powder 400 g (Carton),652.0,15.0,767.0
Stings Energy Drink 250 ml,27.0,10.0,30.0
Real Activ Mixed Fruit 100% Juice 1 L,99.0,36.0,155.0
BalajAgro Meri Chai CHARMINAR TEA 1kg,200.0,16.0,238.0
Patanjali Special Chyawanprash 1 kg,270.0,25.0,360.0
Ensure Vanilla Drink Powder 400 g,698.0,12.0,793.0
Complan Royal Chocolate Powdered Drink 500 g,284.0,10.0,316.0
Storia Badam Shake 180 ml,30.0,33.0,45.0
Continental Speciale Instant Coffee 200g Pouch | 100% Pure Coffee,339.0,34.0,514.0
Horlicks Classic Malt 500 g,264.0,7.0,284.0
Real Active Orange Juice 1 L,99.0,36.0,155.0
Horlicks Chocolate Delight 500 g,209.0,16.0,249.0
Coca Cola 250 ml,18.0,10.0,20.0
Storia Chocolate Shake 180 ml,30.0,33.0,45.0
Tropicana Slice Mango Drink 600 ml,32.0,8.0,35.0
B Natural Guava Juice 180 ml,15.0,25.0,20.0
Horlicks Classic Malt 1 kg,494.0,10.0,549.0
Continental XTRA Coffee Powder 200gm Pouch | Strongest Instant Coffee | PACK OF 2 | 400gm,549.0,27.0,752.0
